     Time_Now  Buffer_Level 
      2.19474             0
      2.19569             3
      2.29419       2.78784
      2.40785       5.78784
      2.50635       5.57914
      2.61655       8.57915
      2.71508       8.43036
      2.76533       11.4304
      2.86386       11.3015
      2.89416       14.3015
      2.99266       14.1726
      3.02314       17.1726
      3.12167       17.0506
      3.14505       20.0506
      3.24354       19.9349
      3.26079       22.9349
      3.35929       22.8142
      3.38153       25.8142
      3.48003       25.6981
      3.49759       28.6981
      3.59609       28.5791
      3.61657       31.5791
      3.71507       31.4629
      3.73276       34.4629
      3.83129        34.347
      3.84872        37.347
      3.94722        37.237
      3.95871        40.237
      4.05724        40.125
      4.07069        43.125
      4.16922       43.0028
      4.19293       46.0028
      4.29143       45.8818
      4.31391       48.8818
      4.41244       48.7573
      4.43842       51.7573
      4.53695       51.6285
      4.56716       54.6285
      4.66566       54.5009
      4.69477       57.5009
