     Time_Now  Buffer_Level 
      2.19324             0
      2.19324             3
      2.29174       2.59492
      2.59832       5.59492
      2.69685       5.25068
      2.94256       8.25068
      3.04109       7.63864
       3.5546       10.6386
       3.6531       10.4051
      3.78815       13.4051
      3.88667       13.1984
      3.99486       16.1984
      4.09338        16.063
      4.13023        19.063
      4.22873       18.9293
      4.26396       21.9293
      4.36246       21.7583
      4.43493       24.7583
      4.53343       24.5869
      4.60637       27.5869
      4.70521       27.4092
      4.78408       30.4092
      4.88261       30.2818
      4.91149       33.2818
      5.01001       33.1352
      5.05803       36.1352
      5.15653       36.0087
      5.18451       39.0087
      5.28304       38.8804
      5.31288       41.8804
      5.41138       41.7213
      5.47195       44.7213
      5.57045        44.592
      5.60128        47.592
      5.69981       47.4229
       5.7703       50.4229
       5.8688       50.2553
      5.93794       53.2553
      6.03646       53.1003
      6.09293       56.1003
      6.19146       55.9173
      6.27589       58.9173
      6.37439       58.6122
      6.58104       61.6122
      6.67957       61.1968
      6.99642       64.1968
      7.09495       63.9924
      7.20085       66.9924
      7.29938       66.7527
      7.44056       69.7527
      7.53909       69.5286
      7.66464       72.5286
      7.76314       72.3167
      7.87651       75.3167
      7.97501       75.1772
      8.01607       78.1772
      8.11457       78.0308
      8.16242       81.0308
      8.26093       80.8203
      8.37295       83.8203
      8.47148       83.6694
      8.52387       86.6694
      8.62237        86.513
      8.68022        89.513
      8.77875       89.3438
      8.84945       92.3438
      8.94798       92.2177
      8.97555       95.2177
      9.07408        95.091
      9.10221        98.091
      9.20071       97.9618
      9.23145       100.962
      9.32998       100.816
      9.37754       103.816
      9.47604       103.694
      9.49947       106.694
      9.59796       106.567
      9.62579       109.567
      9.72432       109.432
      9.76142       112.432
      9.85995       112.308
      9.88495       115.308
      9.98345       115.156
      10.0371       118.156
      10.1356       118.007
      10.1858       121.007
      10.2843       120.885
       10.308       123.885
      10.4065       123.757
       10.436       126.757
      10.5345       126.634
      10.5592       129.634
      10.6577       129.488
      10.7056       132.488
      10.8041       132.371
      10.8218       135.371
      10.9203       135.238
      10.9556       138.238
      11.0541       138.113
      11.0801       141.113
      11.1786       141.004
      11.1894       144.004
      11.2879         143.9
      11.2929         146.9
      11.3914       146.741
       11.452       149.741
      11.5505       149.553
        11.64       152.553
      11.7385       152.392
      11.8009       155.392
      11.8994       155.087
       12.106       158.087
      12.2046       157.773
      12.4202       160.773
      12.5187       160.471
      12.7219       163.471
      12.8204       163.234
      12.9591       166.234
      13.0576       166.084
       13.109       169.084
      13.2075       168.944
      13.2496       171.944
      13.3481       171.734
      13.4595       174.734
       13.558       174.606
      13.5869       177.606
      13.6855       177.458
      13.7349       180.458
      13.8334        180.23
      13.9636        183.23
      14.0622       183.094
      14.0996       186.094
      14.1981       185.976
      14.2169       188.976
      14.3154       188.848
      14.3452       191.848
      14.4437       191.732
      14.4614       194.732
      14.5599       194.596
       14.597       197.596
      14.6955       197.388
      14.8057       200.388
      14.9042       200.251
      14.9425       203.251
       15.041       203.085
       15.108       206.085
      15.2065       205.948
      15.2455       208.948
      15.3441       208.849
      15.3445       211.849
       15.443       211.687
      15.5059       214.687
      15.6045       214.475
      15.7179       217.475
      15.8164       217.307
      15.8864       220.307
      15.9849       220.147
       16.046       223.147
      16.1445       222.842
      16.3512       225.842
      16.4497       225.334
      16.8588       228.334
      16.9573       228.003
      17.1898       231.003
      17.2883       230.785
      17.4084       233.785
      17.5069        233.64
      17.5528        236.64
      17.6513       236.391
      17.8018       239.391
      17.9004       239.193
      18.0002       242.193
      18.0987       242.063
      18.1299       245.063
      18.2284       244.921
      18.2722       247.921
      18.3708       247.708
      18.4849       250.708
      18.5834        250.46
      18.7331        253.46
      18.8316       253.315
      18.8787       256.315
      18.9772        256.07
      19.1232        259.07
      19.2217        258.87
      19.3236        261.87
      19.4221        261.66
      19.5332        264.66
      19.6317       264.403
      19.7906       267.403
      19.8891       267.279
      19.9141       270.279
      20.0126       270.111
      20.0819       273.111
      20.1804        272.87
      20.3233        275.87
      20.4218        275.71
      20.4832        278.71
      20.5818       278.539
      20.6543       281.539
      20.7528       281.383
      20.8107       284.383
      20.9092        284.22
      20.9733        287.22
      21.0718       287.079
      21.1146       290.079
      21.2131        289.92
      21.2727        292.92
      21.3713        292.76
      21.4333        295.76
      21.5318       295.612
      21.5816       298.612
      21.6802       298.472
      21.7215       301.472
        21.82       301.281
      21.9124       304.281
      22.0109       304.148
      22.0451       307.148
      22.1436       306.995
      22.1985       309.995
       22.297       309.876
      22.3172       312.876
      22.4157       312.736
      22.4567       315.736
      22.5552       315.632
      22.5614       318.632
      22.6599       318.528
      22.6654       321.528
      22.7639       321.413
      22.7798       324.413
      22.8783       324.302
      22.8914       327.302
      22.9899       327.169
      23.0239       330.169
      23.1224       330.042
      23.1508       333.042
      23.2493       332.877
      23.3167       335.877
      23.4152       335.737
      23.4567       338.737
      23.5552       338.584
      23.6088       341.584
      23.7073        341.46
      23.7335        344.46
      23.8321        344.31
      23.8836        347.31
      23.9821       347.189
       24.004       350.189
      24.1025       349.964
      24.2296       352.964
      24.3281       352.761
      24.4322       355.761
      24.5307       355.549
      24.6438       358.549
      24.7423       358.369
      24.8246       361.369
      24.9231       361.215
      24.9786       364.215
      25.0771       364.022
      25.1712       367.022
      25.2697       366.893
      25.3003       369.893
      25.3988       369.755
      25.4384       372.755
      25.5369       372.613
      25.5799       375.613
      25.6784        375.46
      25.7335        378.46
       25.832       378.336
      25.8576       381.336
      25.9561       381.194
      25.9989       384.194
      26.0974       384.065
      26.1282       387.065
      26.2267       386.905
      26.2877       389.905
      26.3863       389.782
      26.4108       392.782
      26.5093       392.648
      26.5449       395.648
      26.6435       395.527
       26.666       398.527
      26.7645       398.401
      26.7919       401.401
      26.8904       401.235
      26.9578       404.235
      27.0563       404.079
      27.1142       407.079
      27.2127       406.886
      27.3071       409.886
      27.4056       409.739
      27.4539       412.739
      27.5524       412.609
      27.5843       415.609
      27.6828        415.46
      27.7331        418.46
      27.8316       418.299
       27.894       421.299
      27.9925       421.184
      28.0091       424.184
      28.1076       424.036
      28.1577       427.036
      28.2563       426.908
      28.2851       429.908
      28.3837       429.786
      28.4068       432.786
      28.5053       432.641
      28.5521       435.641
      28.6506       435.511
      28.6825       438.511
       28.781       438.384
      28.8097       441.384
      28.9082       441.257
      28.9366       444.257
      29.0351       444.117
      29.0764       447.117
      29.1749       446.924
      29.2692       449.924
      29.3677       449.805
       29.388       452.805
      29.4865       452.656
      29.5368       455.656
      29.6353       455.482
      29.7108       458.482
      29.8093       458.314
      29.8793       461.314
      29.9778       461.152
      30.0409       464.152
      30.1394       464.006
      30.1873       467.006
      30.2858       466.866
      30.3274       469.866
      30.4259       469.681
       30.512       472.681
      30.6105       472.544
      30.6488       475.544
      30.7473        475.35
      30.8432        478.35
      30.9417       478.157
      31.0367       481.157
      31.1352       480.986
      31.2074       483.986
      31.3059       483.837
      31.3566       486.837
      31.4551       486.702
      31.4913       489.702
      31.5898       489.561
      31.6321       492.561
      31.7306       492.411
      31.7826       495.411
      31.8812       495.296
      31.8976       498.296
      31.9961       498.177
      32.0159       501.177
      32.1144       501.047
       32.146       504.047
      32.2445       503.922
       32.271       506.922
      32.3695       506.814
      32.3796       509.814
      32.4781         509.7
      32.4929         512.7
      32.5915       512.592
       32.601       515.592
      32.6995       515.479
      32.7142       518.479
      32.8128       518.368
      32.8257       521.368
      32.9242       521.254
      32.9388       524.254
      33.0373       524.149
      33.0441       527.149
      33.1427       527.039
      33.1546       530.039
      33.2531       529.904
      33.2896       532.904
      33.3881       532.786
      33.4072       535.786
      33.5057       535.481
      33.7124       538.481
      33.8109        537.88
      34.3133        540.88
      34.4118        540.66
      34.5337        543.66
      34.6322       543.442
      34.7509       546.442
      34.8494       546.275
      34.9185       549.275
      35.0171       549.099
      35.0945       552.099
      35.1931       551.917
      35.2763       554.917
      35.3751       554.745
      35.4484       557.745
      35.5469       557.608
      35.5851       560.608
      35.6836       560.455
      35.7381       563.455
      35.8366       563.321
      35.8724       566.321
      35.9709       566.202
      35.9908       569.202
      36.0894        569.06
       36.133        572.06
      36.2315       571.923
      36.2704       574.923
      36.3689       574.802
      36.3913       577.802
      36.4898       577.676
      36.5174       580.676
      36.6159       580.555
      36.6379       583.555
      36.7364       583.436
      36.7568       586.436
