     Time_Now  Buffer_Level 
      2.19999             0
      2.19999             3
      2.46045       2.73856
      2.46045       5.73856
      2.70967       5.48935
      2.70967       8.48935
      2.90731        8.2917
      2.90731       11.2917
      3.05256       11.1465
      3.05256       14.1465
      3.19803        14.001
      3.19803        17.001
      3.33288       16.8661
      3.33288       19.8661
      3.48081       19.7182
      3.48081       22.7182
      3.64755       22.5515
      3.64755       25.5515
      3.81337       25.3856
      3.81337       28.3856
      3.97158       28.2274
      3.97158       31.2274
      4.12123       31.0778
      4.12123       34.0778
      4.26996        33.929
      4.26996        36.929
      4.40183       36.7972
      4.40183       39.7972
      4.59483       39.6042
      4.59483       42.6042
      4.84462       42.3544
      4.84462       45.3544
       5.0687       45.1303
       5.0687       48.1303
      5.29244       47.9066
      5.29244       50.9066
      5.51552       50.6835
      5.51552       53.6835
       5.7158       53.4832
       5.7158       56.4832
      34.8071       27.3919
      34.8071       30.3919
      36.8175       28.3824
      36.8175       31.3824
       39.797       28.4021
       39.797       31.4021
      41.9685       29.2305
      41.9685       32.2305
      45.8029       28.3961
      45.8029       31.3961
      47.0646       30.1344
      47.0646       33.1344
      53.1332       27.0668
      53.1332       30.0668
       53.891        29.309
       53.891        32.309
      55.1708       31.0292
      55.1708       34.0292
      61.1519       28.0481
      61.1519       31.0481
       64.775        27.425
       64.775        30.425
      68.0443       27.1557
      68.0443       30.1557
      69.2129        28.987
      69.2129        31.987
      71.5804       29.6186
      71.5804       32.6186
      77.0412       27.1578
      77.0412       30.1578
      77.1766       30.0234
      77.1766       33.0234
      81.9194       28.2805
      81.9194       31.2805
      82.2334       30.9666
      82.2334       33.9666
      88.7239       27.4761
      88.7239       30.4761
      89.2518       29.9482
      89.2518       32.9482
      91.9262       30.2738
      91.9262       33.2738
      97.8974       27.3026
      97.8974       30.3026
      98.6793       29.5207
      98.6793       32.5207
      104.428       26.7721
      104.428       29.7721
       104.89       29.3099
       104.89       32.3099
       107.87       29.3296
       107.87       32.3296
      112.348       27.8525
      112.348       30.8525
      116.227        26.973
      116.227        29.973
      117.524       28.6763
      117.524       31.6763
