     Time_Now  Buffer_Level 
       2.1952             0
      2.19663             3
      2.29597       2.76376
      2.43287       5.76376
      2.53269       5.54747
      2.64916       8.54747
      2.74888        8.3219
      2.87473       11.3219
      2.97369       11.1763
      3.02035       14.1763
      3.12035       14.0017
      3.19491       17.0017
      3.29387       16.8677
      3.32893       19.8677
      3.42785        19.734
      3.46261        22.734
      3.56172       22.5787
      3.61792       25.5787
      3.71684       25.4395
      3.75715       28.4395
      3.85704       28.2884
      3.90819       31.2884
       4.0071        31.163
      4.03364        34.163
       4.1326       34.0379
      4.15874       37.0379
      4.25805       36.9093
      4.28731       39.9093
      4.38627       39.7902
      4.40644       42.7902
       4.5054       42.6529
      4.54376       45.6529
      4.64267       45.5202
      4.67639       48.5202
      4.77535       48.3823
      4.81433       51.3823
      4.91328       51.2362
      4.96045       54.2362
      5.05937       54.0936
      5.10304       57.0936
      32.2966       29.8079
      32.3888       32.8079
       35.296       29.6383
      35.5583       32.6383
       38.296       29.1567
      39.0399       32.1567
      41.2955       29.7588
      41.4379       32.7588
      44.2965        29.806
      44.3906        32.806
      47.2955       29.8152
      47.3815       32.8152
      50.2955       29.6399
      50.5567       32.6399
      53.2955        29.598
      53.5986        32.598
      56.2956       29.6399
      56.5567       32.6399
      59.2955       29.5561
      59.6405       32.5561
