Buffer_Underrun_Started_At         Until 
                   17.3171       17.5868
                   23.5868       24.6711
                   27.6711       29.3998
                   32.3998       34.3791
                   37.3791       38.8029
                   41.8029       42.1206
                   45.1206       45.3802
                   48.3802       49.0011
                   52.0011       53.9437
                   56.9437       58.9516
                   61.9516       63.9472
                   66.9472        68.592
                    71.592       73.3518
                   76.3518       76.8129
                   79.8129       86.5354
                   89.5354 
