     Time_Now  Buffer_Level 
      2.19381             0
      2.19381             3
      2.29357       2.57837
      2.61544       5.57837
      2.71524       5.17687
      3.01695       8.17686
      3.11674       7.74146
      3.45236       10.7415
      3.55211       10.4414
      3.75244       13.4414
      3.85223       13.2182
       3.9756       16.2182
      4.07539       16.0632
      4.13066       19.0632
      4.23041       18.8921
       4.3017       21.8921
      4.40764       21.7839
       4.4099       24.7839
       4.5126       24.6772
      4.51659       27.6772
      4.61634       27.5755
      4.61834       30.5755
      4.71809       30.4741
      4.71969       33.4741
      4.81943       33.3728
      4.82099       36.3728
       4.9253       36.2667
      4.92716       39.2667
      5.02695       39.1659
       5.0279       42.1659
      5.12769       42.0636
       5.1302       45.0636
      5.22999       44.9615
      5.23228       47.9615
      5.33203       47.8589
      5.33487       50.8589
      5.43466       50.7557
      5.43811       53.7557
       5.5379       53.6526
       5.5412       56.6526
      5.64099       56.5495
      5.64436       59.5495
      5.74415       59.4421
      5.75167       62.4421
      8.29356       59.8941
      8.29975       62.8941
      11.2936       59.8953
      11.2985       62.8953
      14.2936       59.8966
      14.2972       62.8966
      17.2936       59.8971
      17.2967       62.8971
      20.2936       59.8969
      20.2969       62.8969
      23.2936       59.8966
      23.2972       62.8966
      26.2936       59.8972
      26.2966       62.8972
      29.2936       59.8973
      29.2965       62.8973
      32.2936       59.8985
      32.2954       62.8985
      35.2936       59.8966
      35.2972       62.8966
      38.2936       59.8949
       38.299       62.8949
      41.2936          59.9
      41.2939          62.9
      44.2936       59.8985
      44.2953       62.8985
      47.2936       59.9002
      47.2936       62.9002
      50.2936       59.8998
       50.294       62.8998
      53.2936       59.8995
      53.2943       62.8995
      56.2936       59.8995
      56.2944       62.8995
      59.2936       59.8995
      59.2943       62.8995
