     Time_Now  Buffer_Level 
       2.0971             0
      2.10704             3
      2.15606             0
       2.4293             3
       2.4783             3
      2.97678             6
      3.07187             6
      3.35786             9
      3.61534             9
      3.80468            12
      3.90616            12
      4.07919            15
      4.30707            15
      4.43955            18
      4.66871            18
      4.76624            21
      4.94466            21
      5.07078            24
      5.20541            21
      5.30472            24
      5.47504            24
      5.59101            27
      5.72786            27
      5.93531            30
      6.09304            30
       6.4741            33
      6.74618            33
      7.72296            36
      7.99558            33
      9.27346            36
      9.61103            33
      11.6488            36
       11.881            33
      14.4946            36
      15.0981             0
      60.9275             3
      60.9732             0
      61.1894             3
      61.2351             3
      61.4274             6
      61.4951             6
      61.6337             9
      61.6976             9
      61.8965            12
      61.9894            12
      62.1622            15
        62.29            15
      62.3859            18
      62.6646            18
      62.7589            21
      62.8973            21
      62.9638            24
      63.2426            24
      63.3823            27
      63.8005            24
      63.9853            27
      64.0875            27
      64.2171            30
      64.7386            30
      65.1743            33
      65.4804            33
      66.8409            36
      67.3044            33
      69.4462            36
      69.6715            30
      74.8728            33
      75.2113            30
      75.9872            33
      77.0172            30
      78.9428            33
      79.8785            30
      82.1006            33
      82.4829            33
      83.9282            36
      84.8266            27
      91.3481            30
      101.261            18
       104.46            21
      106.475            18
      107.201            21
      108.243            18
      109.115            21
       110.34            21
      111.142            24
      112.277            21
      113.121            24
      114.309            21
      115.174            24
      116.391            24
      116.816            27
      117.483            24
      118.786            27
      120.551            24
      122.154            27
      124.293            24
      125.038            27
      125.084            27
      125.148            30
      125.233            30
       125.32            33
      125.472            33
      125.659            36
      125.932            36
      125.997            39
      126.096            36
      129.552            39
       131.09             0
      166.735             3
      175.747             0
       178.35             3
      184.959             0
      187.992             3
      190.056             0
      190.174             3
       190.22             3
      190.293             6
      190.338             6
      190.416             9
      190.462             9
      190.498            12
      190.543            12
      190.616            15
      190.661            15
      190.743            18
      190.788            18
      190.844            21
       190.89            21
      190.943            24
      190.988            21
      191.063            24
      191.109            24
      191.159            27
      191.205            27
      191.266            30
      191.311            30
      191.435            33
      191.481            33
      191.687            36
      191.733            36
       192.46            39
       192.65            36
      194.715            39
      194.761            36
      197.041            39
      198.012            30
      207.337            33
      208.205            33
      208.803            36
      208.852            36
      208.871            39
      209.203            33
       214.86            36
      237.159             0
      256.796             3
      257.028             0
      257.151             3
       257.35             3
      257.436             6
      257.794             6
      257.981             9
      258.027             9
      258.136            12
      258.182            12
       258.32            15
      258.366            15
      258.494            18
      258.539            18
       258.69            21
      258.781            21
       258.94            24
      259.096            24
      259.217            27
      259.465            27
      259.673            30
      260.067            27
      260.881            30
      261.172            30
      261.992            33
      263.291            27
      267.735            30
      268.979            27
      269.926            30
      270.571            27
      273.662            30
       274.42            27
      275.365            30
      276.329            30
      277.032            33
      277.717            12
      298.496            15
      313.845             3
      316.077             6
      316.377             3
        320.1             6
       320.18             6
       320.38             9
      320.441             9
      320.504            12
      320.649            12
      320.725            15
      320.808            15
      320.903            18
      321.003            18
      321.062            21
      321.186            21
      321.243            24
      321.322            24
      321.355            27
      321.441            27
      321.506            30
      321.552            30
      321.749            33
      321.824            33
      322.972            36
      323.368            33
      324.822            36
      325.243            30
      330.291            33
      330.923            30
      332.493            33
      333.208            30
      335.791            33
      336.251            33
      337.799            36
      337.938            33
      338.263            36
      338.742            36
      339.008            39
      339.402            39
      340.042            42
      340.909            39
      343.946            42
      344.657             0
      387.128             3
      387.219             0
      387.311             3
      387.977             3
      388.054             6
      388.288             6
      388.425             9
      388.694             9
       388.83            12
      389.158            12
      389.229            15
      389.524            15
      389.639            18
      390.581            15
      390.665            18
        391.7            18
      392.019            21
      394.061            18
      394.366            21
      396.702            18
      398.035            21
