Time	VideoShare	AudioShare	VideoMbps	AudioMbps
3	0.555456	0.444544	1.08976	0.87216
4	0.475102	0.524898	1.23072	1.35971
5	0.584466	0.415534	1.10109	0.782832
6	0.385227	0.614773	0.938992	1.49851
7	0.473192	0.526808	1.35061	1.50364
8	0.338881	0.661119	0.559744	1.092
9	0.789212	0.210788	1.81197	0.483952
10	0.414418	0.585582	1.776	2.50953
11	1	0	0.47512	0
12	0.405751	0.594249	1.776	2.60106
13	0.938776	0.0612245	1.104	0.072
14	0.764749	0.235251	0.692624	0.213064
15	0.976937	0.0230631	1.01662	0.024
16	0.972851	0.0271493	2.58	0.072
17	0.919272	0.0807276	1.09318	0.096
18	0.909605	0.0903955	3.864	0.384
19	0.833697	0.166303	0.721888	0.144
20	0.870627	0.129373	2.34189	0.348
21	0.333333	0.666667	0.012	0.024
22	0	1	0	0.012
23	1	0	0.324	0
24	1	0	0.384	0
25	0.969697	0.030303	0.384	0.012
26	1	0	0.384	0
27	1	0	0.432	0
28	1	0	0.264	0
29	1	0	0.204	0
30	0.263158	0.736842	0.06	0.168
31	0.0666667	0.933333	0.012	0.168
33	0	1	0	0.012
34	1	0	0.012	0
35	0	1	0	0.012
38	1	0	0.06	0
39	1	0	0.228	0
40	1	0	0.264	0
41	0.962963	0.037037	0.312	0.012
42	1	0	0.288	0
43	1	0	0.288	0
44	1	0	0.036	0
45	0.125	0.875	0.012	0.084
47	0	1	0	0.012
48	1	0	0.012	0
50	0	1	0	0.012
51	1	0	0.192	0
52	1	0	0.252	0
53	0.692308	0.307692	0.108	0.048
55	0.5	0.5	0.012	0.012
56	0.833333	0.166667	0.18	0.036
57	0.875	0.125	0.084	0.012
58	0.857143	0.142857	0.216	0.036
59	0.807692	0.192308	0.252	0.06
60	0.8	0.2	0.24	0.06
61	0.624515	0.375485	2.97363	1.78787
62	0.547162	0.452838	2.4375	2.01731
63	0.774768	0.225232	4.44864	1.29326
64	0.741096	0.258904	3.12666	1.0923
65	0.640542	0.359458	3.486	1.95626
66	0.297939	0.702061	0.918	2.16317
67	0.33657	0.66343	1.248	2.46
68	0.914885	0.0851146	1.332	0.12392
69	0.61079	0.38921	0.420448	0.26792
70	0.794702	0.205298	2.88	0.744
71	0.789842	0.210158	1.6236	0.432
72	0.682927	0.317073	1.008	0.468
73	0.682829	0.317171	2.2476	1.044
74	0.596066	0.403934	0.697936	0.472968
75	0	1	0	1.63927
76	1	0	2.148	0
77	0.360958	0.639042	1.40138	2.48101
78	1	0	0.12	0
79	0.807307	0.192693	1.79738	0.429008
80	0.789224	0.210776	0.943584	0.252
81	0.758197	0.241803	2.22	0.708
82	0.522961	0.477039	0.167632	0.152912
83	0.56506	0.43494	2.15142	1.656
84	0.725471	0.274529	1.944	0.73564
85	0.704289	0.295711	1.872	0.786
86	1	0	0.036	0
87	1	0	0.024	0
89	1	0	0.024	0
90	1	0	0.06	0
91	1	0	0.036	0
92	0.216657	0.783343	0.18	0.650808
93	1	0	0.210544	0
105	0	1	0	0.157032
107	1	0	0.19608	0
108	0	1	0	0.186168
109	1	0	0.232704	0
110	0	1	0	0.172064
111	1	0	0.214768	0
112	0	1	0	0.18056
113	1	0	0.22528	0
114	0	1	0	0.184768
115	1	0	0.23096	0
116	0	1	0	0.096968
117	0.307796	0.692204	0.121104	0.272352
118	1	0	0.340544	0
119	0	1	0	0.332112
121	1	0	0.415136	0
123	0	1	0	0.280416
125	1	0	0.174768	0
126	0.592016	0.407984	2.99056	2.06093
127	0.555479	0.444521	7.488	5.99226
128	0.273543	0.726457	0.465408	1.236
129	0.993289	0.00671141	3.552	0.024
130	0.638298	0.361702	3.6	2.04
131	0.993289	0.00671141	1.776	0.012
132	0	1	0	3.288
133	0.454545	0.545455	0.18	0.216
134	0.99631	0.00369004	3.24	0.012
135	0.117155	0.882845	0.336	2.532
136	0.996825	0.0031746	3.768	0.012
138	0.00653595	0.993464	0.012	1.824
139	0.989583	0.0104167	1.14	0.012
140	1	0	1.272	0
141	0	1	0	1.308
142	0.992424	0.00757576	1.572	0.012
143	0.628019	0.371981	1.56	0.924
144	0.522727	0.477273	0.736	0.672
145	0.735537	0.264463	1.068	0.384
146	0.733088	0.266912	1.9116	0.696
147	0.801303	0.198697	2.952	0.732
148	0.729886	0.270114	0.90792	0.336
149	0.628099	0.371901	0.912	0.54
150	0.547242	0.452758	1.43592	1.188
151	0.0454545	0.954545	0.012	0.252
152	0	1	0	0.288
153	0.793103	0.206897	0.276	0.072
154	0.977358	0.0226421	0.384	0.008896
155	1	0	0.336	0
156	1	0	0.384	0
157	1	0	0.312	0
158	1	0	0.264	0
159	1	0	0.132	0
161	1	0	0.012	0
164	1	0	0.012	0
167	0	1	0	0.532
171	1	0	0.012	0
172	1	0	0.24	0
173	1	0	0.252	0
174	1	0	0.312	0
175	1	0	0.288	0
176	1	0	0.192	0
178	1	0	0.012	0
179	0	1	0	0.617744
181	1	0	0.012	0
184	1	0	0.24	0
185	1	0	0.24	0
187	1	0	0.012	0
189	0	1	0	0.599392
190	1	0	0.012	0
191	0.182884	0.817116	0.564	2.51992
192	0.104746	0.895254	0.643216	5.49752
193	0.0899811	0.910019	0.379312	3.83615
194	0.0547474	0.945253	0.323184	5.58
195	0.131869	0.868131	0.78024	5.13652
196	0.329626	0.670374	0.344048	0.699704
197	0.288677	0.711323	0.560048	1.38
198	0.952381	0.047619	0.24	0.012
199	0.910036	0.089964	1.45664	0.144
200	0.918033	0.0819672	2.016	0.18
201	0.857059	0.142941	1.87072	0.312
202	0.751706	0.248294	1.7075	0.564
203	0.645587	0.354413	1.5957	0.876
204	0.567568	0.432432	1.512	1.152
205	0.635593	0.364407	1.8	1.032
206	0.179933	0.820067	0.244864	1.116
207	0.586355	0.413645	1.80846	1.27578
