     Time_Now  Buffer_Level 
      2.09137             0
      2.10813             3
       2.1675             0
      2.46898             3
      2.68429             3
      3.06615             6
      3.36358             6
      3.90043             9
      4.08491             9
      4.30135            12
      4.44527            12
      4.66299            15
      4.77196            15
      4.93893            18
       5.0765            15
      5.19969            18
      5.31044            18
      5.46932            21
      5.59673            21
      5.72214            24
      5.94104            24
      6.08732            27
      6.47982            27
      6.74046            30
      7.16388            30
      7.98986            33
      8.51628            30
      9.60531            33
       10.372            30
      11.8753            33
      13.1213            30
      14.9607            33
      15.4283            30
       17.237            33
      17.2885            33
      19.4523            36
      22.1797             3
      60.3524             6
      60.3981             6
      60.5071             9
      60.5575             9
       60.668            12
      60.7209            12
      60.9501            15
      61.0309            12
      61.1923            15
      61.2471            15
      61.4205            18
      61.4662            18
      61.6279            21
      61.6736            21
      61.8199            24
      61.8989            24
       61.987            27
      62.0927            27
      62.2876            30
      62.3883            30
      62.8948            33
      62.9662            30
      64.0851            33
      64.2195            33
      65.2172            36
      65.9239            33
      69.6658            36
      69.8031            33
      72.3797            36
      73.5601            33
      75.2056            36
       75.993            33
      78.8684            36
       79.415            33
      80.4314            36
      80.6031            33
       82.062            36
       82.111            36
      83.5603            39
      83.9339            15
      106.415            18
      107.261            18
      108.183            21
      109.175            18
       110.28            21
      111.202            18
      112.217            21
      113.181            21
      114.249            24
      115.234            21
      116.331            24
      116.876            24
      117.423            27
      118.846            24
      120.491            27
      122.214            21
      124.233            24
      125.041            24
      125.073            27
      125.151            27
      125.231            30
      125.323            30
      125.469            33
      125.661            33
      125.929            36
      125.999            36
      126.093            39
      126.483            36
      129.369            39
      129.857            24
       144.91            27
      145.059            24
       145.77            27
      145.924            27
      146.772            30
      146.972            27
      149.224            30
      152.091             0
      191.283             3
      191.381             3
      192.458             6
      192.638             6
      192.864             9
      193.141             9
      193.979            12
      194.482             9
      194.753            12
      194.912            12
      195.061            15
      196.686            15
      196.862            18
      197.903            15
      198.201            18
       198.25            18
      198.393            21
      198.442            21
      198.518            24
      198.567            24
      198.686            27
      198.735            27
      198.914            30
      198.963            27
      200.158            30
      200.207            30
      201.479            33
      201.536            30
      203.447            33
      203.676            30
      206.608            33
      207.342            33
      208.199            36
      208.808            36
      208.839            39
      208.888             9
      237.099            12
      240.564             3
      245.404             6
      245.584             3
      249.606             6
      249.907             6
      252.624             9
      253.045             9
      255.082            12
      255.128            12
      255.285            15
      255.331            15
      255.544            18
       255.64            18
      255.808            21
      255.976            21
      256.161            24
      256.433            24
      256.636            27
      256.799            24
      257.026            27
      257.153            27
      257.347            30
      257.439            30
      257.991            33
      258.068            30
      261.166            33
      261.997            24
      268.974            27
      269.932            27
      270.565            30
      271.583            27
      273.957            30
      275.568            27
      277.712            30
      279.497             0
      311.774             3
      314.085             0
      320.086             3
      320.131             0
      320.177             3
      320.252             3
      320.439             6
      320.506             6
      320.646             9
      320.727             9
      320.806            12
      320.905            12
      321.001            15
      321.065            15
      321.183            18
      321.246            18
       321.32            21
      321.366            21
      321.438            24
      321.508            24
       321.55            27
      321.727            27
      321.821            30
      322.114            30
      322.806            33
      322.974            30
      324.936            33
      325.735            30
       328.96            33
      330.749            27
      333.939            30
      334.133            30
      334.792            33
      335.061            30
      336.246            33
      336.629            33
      337.933            36
      338.269            33
      338.736            36
      339.014            36
      339.397            39
      340.048            39
      340.903            42
      342.253            36
      344.245            39
      344.963             3
      380.694             6
      381.415             6
      382.863             9
      383.163             6
      385.047             9
      385.093             9
      385.206            12
      385.252            12
      385.419            15
      385.487            15
      385.609            18
      385.729            18
      385.823            21
      386.003            21
      386.051            24
       386.27            24
      386.461            27
      386.716            27
      387.113            30
      387.159            27
      388.056            30
        388.3            30
      389.156            33
      389.231            30
      391.374            33
      392.539            27
      397.787            30
