Time    isSharedBottleneck
3    1
4    1
5    1
6    1
7    1
8    1
28    1
29    1
30    1
31    1
32    1
33    1
34    1
35    1
36    1
37    1
38    1
39    1
40    1
41    1
42    1
67    1
68    1
69    1
70    1
71    1
72    1
73    1
74    1
75    1
76    1
77    1
78    1
79    1
89    1
90    1
91    1
92    1
93    1
94    1
95    1
96    1
112    1
113    1
114    1
115    1
116    1
117    1
118    1
119    1
125    1
126    1
127    1
128    1
129    1
143    1
144    1
145    1
146    1
147    1
