     Time_Now  Buffer_Level 
       2.5526             3
      3.08921             6
       3.2526             3
      3.60034             6
       4.0942             9
      4.49594            12
      5.24686            15
      5.93362            18
       6.2526            15
        6.831            18
       9.2526            15
      11.6435            18
      12.2526            15
      12.4916            18
      13.2303            21
      14.5511            24
      15.2526            21
      18.2526            18
      21.2526            15
      24.2526            12
      25.2659            15
      27.2526            12
      28.2611            15
      30.2526            12
      30.4404            15
      33.2526            12
      33.3317            15
      35.4944            18
      36.2526            15
      37.2895            18
      39.0019            21
      39.2526            18
      42.2526            15
      45.2526            12
      46.1787            15
        46.37            18
      46.5827            21
      47.2015            24
      48.2526            21
      51.2526            18
      51.2818            21
      51.7725            24
      54.2526            21
      57.2526            18
      60.2526            15
      63.2526            12
      66.2526             9
      69.2526             6
      70.5365             9
      71.9209            12
      72.2526             9
      75.2475            12
      75.2526             9
      78.2526             6
      81.2526             3
      84.2526             0
      84.8785             3
      85.9457             6
      87.2526             3
      87.2858             6
      88.4379             9
      89.7632            12
      90.2526             9
      92.3151            12
      93.2526             9
      93.7494            12
      96.2526             9
      99.2526             6
      102.253             3
      105.253             0
      106.375             3
      107.815             6
      108.253             3
      110.233             6
      111.253             3
      111.846             6
      113.119             9
      114.488            12
      114.653             9
      117.853             6
      120.853             3
      122.936             6
      124.978             9
      125.053             6
      127.446             9
      128.224            12
      131.053             9
      134.053             6
      137.053             3
      138.683             6
      139.602             9
      140.053             6
      140.698             9
      141.584            12
      143.053             9
      143.609            12
      146.053             9
       147.35            12
