Time    isSharedBottleneck
6    1
18    1
19    1
20    1
21    1
22    1
23    1
24    1
25    1
27    1
28    1
29    1
30    1
33    1
34    1
35    1
36    1
63    1
64    1
65    1
66    1
67    1
68    1
69    1
70    1
72    1
73    1
74    1
75    1
83    1
84    1
90    1
91    1
92    1
93    1
104    1
105    1
111    1
112    1
113    1
114    1
122    1
123    1
124    1
125    1
126    1
127    1
128    1
137    1
138    1
139    1
140    1
141    1
142    1
143    1
145    1
146    1
147    1
