     Time_Now  Buffer_Level 
      3.21999             3
      3.21999             0
      5.41539             3
      6.21999             0
       7.1732             3
      8.13761             6
       8.6387             9
      9.00212            12
      9.21999             9
      10.9811            12
        12.22             9
      13.4281            12
      14.6488            15
        15.22            12
        15.97            15
      17.3828            18
        18.22            15
        21.22            12
       22.589            15
        24.22            12
        27.22             9
       30.016            12
        30.22             9
        33.22             6
        36.22             3
      36.3468             6
        39.22             3
       39.314             6
      40.8158             9
        42.22             6
       43.199             9
      44.4601            12
        45.22             9
      45.5823            12
      46.6241            15
        48.22            12
      48.3665            15
      49.4445            18
      50.5735            21
        51.22            18
        54.22            15
        57.22            12
        60.22             9
        63.22             6
        66.22             3
      68.4422             6
        69.22             3
        72.22             0
      72.7757             3
        75.22             0
      76.0206             3
       77.578             6
        78.22             3
      79.3109             6
        81.22             3
      83.5957             6
        84.22             3
      87.0758             6
        87.22             3
        90.22             0
       90.336             3
        93.22             0
      94.2595             3
        96.22             0
      96.6853             3
      99.0835             6
        99.22             3
      101.059             6
       102.22             3
      103.612             6
       105.22             3
      107.949             6
       108.22             3
       111.22             0
      114.586             3
      114.586             0
      117.823             3
      117.823             0
      120.115             3
      120.823             0
      124.963             3
      124.963             0
      130.955             3
      130.955             0
      133.545             3
      133.955             0
      135.658             3
      136.955             0
      137.143             3
      139.955             0
      140.017             3
      142.955             0
      143.628             3
      145.955             0
