    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        2       26       33       29.5
         2.1         2.45       46       41      154    100.826
        2.45          2.8       55       29       85    51.9636
         2.8         3.15       48       26       55    39.8958
        3.15          3.5       36       26       88    45.9444
         3.5         3.85       33       26       38         30
        3.85          4.2       41       25       43     29.122
         4.2         4.55       41       25       33    30.8049
        4.55          4.9       42       30       36    31.8571
         4.9         5.25       42       25       33    28.4762
        5.25          5.6       42       22       38    26.6905
         5.6         5.95       48       25       29    27.3125
        5.95          6.3       42       25       40         27
         6.3         6.65       45       25       27    25.9778
        6.65            7       54       24       29    25.2778
           7         7.35       58       23       36    24.9483
        7.35          7.7       78       23       27    24.4359
         7.7         8.05       91       23       27    24.4505
        8.05          8.4      103       23       41    25.1942
         8.4         8.75      129       23       48     25.938
        8.75          9.1      136       22       76     26.875
         9.1         9.45       89       26      123    63.4382
        9.45          9.8       62       26       33    27.8387
         9.8        10.15       71       25       32    27.4366
       10.15         10.5       74       25       29         27
        10.5        10.85       76       25       29         27
       10.85         11.2       70       24       49       27.8
        11.2        11.55       74       24       50    29.3378
       11.55         11.9       63       24       37    27.9206
        11.9        12.25       62       24       44    30.1452
       12.25         12.6       68       24       39    31.4559
        12.6        12.95       61       24       42    33.2131
       12.95         13.3       62       24       35    27.6774
        13.3        13.65       64       24       69    32.3125
       13.65           14       72       28       35    31.1667
          14        14.35       73       31       36    33.5068
       14.35         14.7       70       23       36    30.5143
        14.7        15.05       87       24       51    27.3678
       15.05         15.4       83       25       39    27.5904
        15.4        15.75       83       25       29    27.0241
       15.75         16.1       76       23       67    30.0658
        16.1        16.45       82       26       29       27.5
       16.45         16.8       88       26       33    27.9773
        16.8        17.15       88       26       41    31.4091
       17.15         17.5       69       23       68    35.4493
        17.5        17.85       50       26       78      45.52
       17.85         18.2       45       28       45    34.9556
        18.2        18.55       38       25       44    31.4474
       18.55         18.9       39       25       33    27.5641
        18.9        19.25       47       23       40    25.4894
       19.25         19.6       48       23       25         24
        19.6        19.95       44       23       25         24
       19.95         20.3       25       23      110       55.8
        20.3        20.65       14       32       90       56.5
       20.65           21       18       59      100    74.0556
          21        21.35       17       29       80         43
       21.35         21.7       24       29       42    32.2917
        21.7        22.05       28       25       49    35.9286
       22.05         22.4       28       25       28       26.5
        22.4        22.75       30       25       38    27.2333
       22.75         23.1       28       25       39    28.1429
        23.1        23.45       28       28       34         31
       23.45         23.8       28       28       34         31
        23.8        24.15       27       28       54    35.3704
       24.15         24.5       20       45       71       50.8
        24.5        24.85       20       30       87       56.5
       24.85         25.2       19       37       58    45.9474
        25.2        25.55       19       42       88    61.1053
       25.55         25.9       16       32       98     72.625
        25.9        26.25       17       32       59    46.2353
       26.25         26.6       18       45       83    61.0556
        26.6        26.95       19       54       92    68.5263
       26.95         27.3       14       33       78    47.7143
        27.3        27.65       16       45       89       61.5
       27.65           28       14       33       67    45.7857
          28        28.35       24       26       35    28.6667
       28.35         28.7       25       26       31       28.6
        28.7        29.05       27       26       41    29.5185
       29.05         29.4       17       44       54    49.0588
        29.4        29.75       20       44       54         49
       29.75         30.1       19       25       54    44.3684
        30.1        30.45       28       25       28       26.5
       30.45         30.8       28       25       28       26.5
        30.8        31.15       25       25      104      34.96
       31.15         31.5       14       33      113    71.7143
        31.5        31.85       12       33       79    51.6667
       31.85         32.2       16       46       95    63.8125
        32.2        32.55       13       33       71    53.4615
       32.55         32.9       15       33       83    49.8667
        32.9        33.25       22       28       71    38.6818
       33.25         33.6       25       28       40      31.36
        33.6        33.95       25       28       34      31.12
       33.95         34.3       17       28       85         51
        34.3        34.65       14       50       73       61.5
       34.65           35       15       50       73    62.2667
          35        35.35       28       26       58    29.8571
       35.35         35.7       29       26       34    28.2414
        35.7        36.05       36       26       60    30.6944
       36.05         36.4       16       30      119       66.5
        36.4        36.75       20       37       71       49.3
       36.75         37.1       21       46       79    62.1429
        37.1        37.45       14       44      115    80.7857
       37.45         37.8       16       44       87    59.1875
        37.8        38.15       28       23       99    44.6429
       38.15         38.5       49       23       25    23.9388
        38.5        38.85       48       23       24       23.5
       38.85         39.2       48       22       24         23
        39.2        39.55       49       22       27    22.8163
       39.55         39.9       48       22       23       22.5
        39.9        40.25       48       22       25    23.2917
       40.25         40.6       47       23       24    23.4894
        40.6        40.95       42       21       30    24.0238
       40.95         41.3       64       23       24       23.5
        41.3        41.65       68       23       25    23.7206
       41.65           42       84       23       25    23.7262
          42        42.35       46       26       94    51.8913
       42.35         42.7        0        0        0          0
        42.7        43.05        0        0        0          0
       43.05         43.4        2       29       29         29
        43.4        43.75       24       29       56    39.5417
       43.75         44.1       57       23       74    48.2105
        44.1        44.45       84       23       25    23.5833
       44.45         44.8       90       23       34       24.3
        44.8        45.15      110       23       27    23.8636
       45.15         45.5      107       23       26    23.5514
        45.5        45.85       95       23       42    24.8842
       45.85         46.2      112       22       27    23.4375
        46.2        46.55      112       22       25    23.7232
       46.55         46.9      104       22       41    23.8846
        46.9        47.25      104       22       45    26.4135
       47.25         47.6      108       23       25         24
        47.6        47.95      113       23       27    24.0354
       47.95         48.3      125       23       25     23.584
        48.3        48.65      130       22       37    24.3769
       48.65           49      145       23       24    23.5724
          49        49.35      164       23       31    24.4451
       49.35         49.7      176       23       55    26.1364
