     Time_Now  Buffer_Level 
       2.5526             3
      3.08921             6
       3.2526             3
      3.60034             6
       4.0942             9
      4.49594            12
      4.88711            15
      5.26132            18
      5.61819            21
      5.97501            24
       6.2526            21
       9.2526            18
      12.2526            15
      13.5774            18
      14.0395            21
       14.347            24
      15.2526            21
      18.2526            18
      18.7052            21
      19.5897            24
      21.2526            21
      24.2526            18
       27.029            21
      27.2526            18
      29.1521            21
      33.6526            18
      35.6347            21
      36.2363            24
      36.6526            21
      39.6526            18
      42.6526            15
      44.2256            18
       44.342            21
      44.4501            24
      45.6526            21
      48.6526            18
      49.4045            21
      49.7029            24
      51.6526            21
      54.6526            18
      57.6526            15
      58.5714            18
      60.0761            21
      60.6526            18
      61.0294            21
      61.5079            24
      63.6526            21
      66.6526            18
      69.6526            15
      70.9337            18
      72.5082            21
      72.6526            18
      74.6301            21
      75.6526            18
      76.0531            21
      77.1599            24
      78.6526            21
      81.6526            18
      84.6526            15
      84.7631            18
      87.6526            15
      90.6526            12
      92.0653            15
      93.6526            12
      94.1042            15
      95.7914            18
      96.6526            15
      97.1577            18
      99.6526            15
      102.653            12
       103.83            15
      105.653            12
      106.739            15
      108.653            12
      110.796            15
      111.653            12
      114.653             9
      117.653             6
      118.869             9
      120.653             6
      123.653             3
       123.96             6
      126.653             3
      129.653             0
      130.282             3
       131.57             6
      132.653             3
      135.653             0
      136.433             3
      138.653             0
      139.198             3
      141.653             0
      141.723             3
      142.538             6
      143.681             9
      144.653             6
      146.441             9
      147.653             6
      147.925             9
