    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        1       29       29         29
         2.1         2.45       46       37      138    93.3913
        2.45          2.8       36       26       77    50.0278
         2.8         3.15       38       26       45    35.2368
        3.15          3.5       42       26       88    47.4286
         3.5         3.85       36       25       56    32.0556
        3.85          4.2       40       25       73      34.75
         4.2         4.55       48       25       30    27.9375
        4.55          4.9       53       25       66    30.3396
         4.9         5.25       54       24       66    28.4444
        5.25          5.6       52       24       49    26.8269
         5.6         5.95       53       23       49    26.7358
        5.95          6.3        8       24       26         25
         6.3         6.65        0        0        0          0
        6.65            7        0        0        0          0
           7         7.35        0        0        0          0
        7.35          7.7        0        0        0          0
         7.7         8.05        0        0        0          0
        8.05          8.4        0        0        0          0
         8.4         8.75        0        0        0          0
        8.75          9.1        0        0        0          0
         9.1         9.45        0        0        0          0
        9.45          9.8        0        0        0          0
         9.8        10.15        0        0        0          0
       10.15         10.5        0        0        0          0
        10.5        10.85        0        0        0          0
       10.85         11.2        0        0        0          0
        11.2        11.55        0        0        0          0
       11.55         11.9        0        0        0          0
        11.9        12.25        0        0        0          0
       12.25         12.6        0        0        0          0
        12.6        12.95        0        0        0          0
       12.95         13.3        0        0        0          0
        13.3        13.65       58       24       61    43.6724
       13.65           14       44       24       45    31.7273
          14        14.35       64       24       75    40.4375
       14.35         14.7        0        0        0          0
        14.7        15.05        0        0        0          0
       15.05         15.4        0        0        0          0
        15.4        15.75        0        0        0          0
       15.75         16.1        0        0        0          0
        16.1        16.45        0        0        0          0
       16.45         16.8        0        0        0          0
        16.8        17.15        0        0        0          0
       17.15         17.5        0        0        0          0
        17.5        17.85        0        0        0          0
       17.85         18.2        0        0        0          0
        18.2        18.55       31       25       91    65.6774
       18.55         18.9       49       26       85         44
        18.9        19.25       60       23       52      27.75
       19.25         19.6       61       23       27    24.0328
        19.6        19.95        0        0        0          0
       19.95         20.3        0        0        0          0
        20.3        20.65        0        0        0          0
       20.65           21        0        0        0          0
          21        21.35        0        0        0          0
       21.35         21.7        0        0        0          0
        21.7        22.05        0        0        0          0
       22.05         22.4        0        0        0          0
        22.4        22.75        0        0        0          0
       22.75         23.1        0        0        0          0
        23.1        23.45        0        0        0          0
       23.45         23.8        0        0        0          0
        23.8        24.15        0        0        0          0
       24.15         24.5        9       46      180    113.333
        24.5        24.85       29       45      146    80.9655
       24.85         25.2       20       37       98      60.35
        25.2        25.55       14       38       88    55.8571
       25.55         25.9       17       48       78    59.7647
        25.9        26.25       18       54       92    69.6667
       26.25         26.6       14       35       73    54.7857
        26.6        26.95       18       35       73    52.6111
       26.95         27.3       15       34      123    72.5333
        27.3        27.65       10       33       89       52.2
       27.65           28       15       33       78       52.2
          28        28.35       29       26       63    31.2759
       28.35         28.7       41       26       35     28.878
        28.7        29.05       37       26       39    28.9189
       29.05         29.4        6       49      101         77
        29.4        29.75        0        0        0          0
       29.75         30.1        0        0        0          0
        30.1        30.45        0        0        0          0
       30.45         30.8        0        0        0          0
        30.8        31.15        0        0        0          0
       31.15         31.5        0        0        0          0
        31.5        31.85        0        0        0          0
       31.85         32.2        0        0        0          0
        32.2        32.55        0        0        0          0
       32.55         32.9        0        0        0          0
        32.9        33.25        0        0        0          0
       33.25         33.6        0        0        0          0
        33.6        33.95        0        0        0          0
       33.95         34.3        0        0        0          0
        34.3        34.65        0        0        0          0
       34.65           35        0        0        0          0
          35        35.35       21       26       60    38.7143
       35.35         35.7       39       30      124    86.1026
        35.7        36.05       40       35      123      64.95
       36.05         36.4       12       44      113       87.5
        36.4        36.75        0        0        0          0
       36.75         37.1        0        0        0          0
        37.1        37.45        0        0        0          0
       37.45         37.8        0        0        0          0
        37.8        38.15        0        0        0          0
       38.15         38.5        0        0        0          0
        38.5        38.85        0        0        0          0
       38.85         39.2        0        0        0          0
        39.2        39.55        0        0        0          0
       39.55         39.9        0        0        0          0
        39.9        40.25        0        0        0          0
       40.25         40.6        0        0        0          0
        40.6        40.95        0        0        0          0
       40.95         41.3        0        0        0          0
        41.3        41.65        0        0        0          0
       41.65           42        0        0        0          0
          42        42.35        0        0        0          0
       42.35         42.7        0        0        0          0
        42.7        43.05        0        0        0          0
       43.05         43.4        0        0        0          0
        43.4        43.75        0        0        0          0
       43.75         44.1       15       23       56    32.7333
        44.1        44.45      151       23       86    39.0066
       44.45         44.8        1       87       87         87
        44.8        45.15        0        0        0          0
       45.15         45.5        0        0        0          0
        45.5        45.85        0        0        0          0
       45.85         46.2        0        0        0          0
        46.2        46.55        0        0        0          0
       46.55         46.9        0        0        0          0
        46.9        47.25        0        0        0          0
       47.25         47.6        0        0        0          0
        47.6        47.95        0        0        0          0
       47.95         48.3        0        0        0          0
        48.3        48.65        0        0        0          0
       48.65           49        0        0        0          0
          49        49.35       44       23      130    73.7273
       49.35         49.7       66       23      156    44.9545
        49.7        50.05        2       34       37       35.5
       50.05         50.4        0        0        0          0
        50.4        50.75        0        0        0          0
       50.75         51.1        0        0        0          0
        51.1        51.45        0        0        0          0
       51.45         51.8        0        0        0          0
        51.8        52.15        0        0        0          0
       52.15         52.5        0        0        0          0
        52.5        52.85        0        0        0          0
       52.85         53.2        0        0        0          0
        53.2        53.55        0        0        0          0
       53.55         53.9        0        0        0          0
        53.9        54.25        0        0        0          0
       54.25         54.6        0        0        0          0
        54.6        54.95        0        0        0          0
       54.95         55.3        0        0        0          0
        55.3        55.65        0        0        0          0
       55.65           56        0        0        0          0
          56        56.35        0        0        0          0
       56.35         56.7        0        0        0          0
        56.7        57.05        4       36       76      56.75
       57.05         57.4       28       89      263    195.536
        57.4        57.75       25       73      228     123.28
       57.75         58.1        0        0        0          0
        58.1        58.45        0        0        0          0
       58.45         58.8        9       50      191    99.8889
        58.8        59.15       17       38      303    141.941
       59.15         59.5       23       53       68    60.1739
        59.5        59.85       13       44       53    51.0769
       59.85         60.2        2       31       31         31
