     Time_Now  Buffer_Level 
       2.5526             3
      3.08921             6
       3.2526             3
      3.60034             6
       4.0942             9
      4.49594            12
      4.88711            15
      5.26132            18
      5.61819            21
      5.97501            24
       6.2526            21
      6.31535            24
      6.66087            27
      6.99941            30
      7.32266            33
      7.59968            36
      7.83967            39
      8.06754            42
      8.26476            45
      8.45084            48
      8.63035            51
      8.80741            54
       9.2526            51
      12.2526            48
      15.2526            45
      18.2526            42
      21.2526            39
      24.2526            36
      27.2526            33
      30.2526            30
      33.2526            27
      36.2526            24
      39.0135            27
      39.2526            24
      42.2526            21
       44.247            24
      45.2526            21
      45.4458            24
      46.0765            27
      48.2526            24
      49.5042            27
      51.2526            24
      52.8617            27
      54.2526            24
      57.2526            21
      60.2526            18
      60.5527            21
      63.2526            18
      63.8918            21
      66.2526            18
       67.804            21
      69.2526            18
      70.6659            21
      72.2526            18
      74.2106            21
      75.2526            18
      77.0594            21
      78.2526            18
      81.2526            15
      84.2526            12
      85.8113            15
      90.4084            18
      90.6526            15
      95.8928            18
      99.6175            21
      100.053            18
      102.825            21
      107.326            24
      109.453            21
       111.78            24
      114.453            21
      115.239            24
      117.276            27
      117.953            24
      120.953            21
      122.738            24
      124.453            21
      127.393            24
      130.436            27
      130.653            24
      133.653            21
      134.505            24
      135.552            27
      136.653            24
      139.419            27
      139.653            24
      142.653            21
      143.451            24
       145.62            27
      145.953            24
