    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        1       29       29         29
         2.1         2.45       46       37      138    93.3913
        2.45          2.8       36       26       77    50.0278
         2.8         3.15       38       26       45    35.2368
        3.15          3.5       42       26       88    47.4286
         3.5         3.85       36       25       56    32.0556
        3.85          4.2       40       25       73      34.75
         4.2         4.55       48       25       30    27.9375
        4.55          4.9       53       25       66    30.3396
         4.9         5.25       54       24       66    28.4444
        5.25          5.6       52       24       49    26.8269
         5.6         5.95       53       23       49    26.7358
        5.95          6.3       56       24       40    25.6429
         6.3         6.65       58       23       43    25.6724
        6.65            7       60       24       40      25.75
           7         7.35       56       23       36    25.6071
        7.35          7.7       73       23       41    26.4521
         7.7         8.05       92       23       51    25.9565
        8.05          8.4       91       23       51         28
         8.4         8.75      110       23       65    32.1364
        8.75          9.1       22       32       38    35.4545
         9.1         9.45        0        0        0          0
        9.45          9.8        0        0        0          0
         9.8        10.15        0        0        0          0
       10.15         10.5        0        0        0          0
        10.5        10.85        0        0        0          0
       10.85         11.2        0        0        0          0
        11.2        11.55        0        0        0          0
       11.55         11.9        0        0        0          0
        11.9        12.25        0        0        0          0
       12.25         12.6        0        0        0          0
        12.6        12.95        0        0        0          0
       12.95         13.3        0        0        0          0
        13.3        13.65        0        0        0          0
       13.65           14        0        0        0          0
          14        14.35        0        0        0          0
       14.35         14.7        0        0        0          0
        14.7        15.05        0        0        0          0
       15.05         15.4        0        0        0          0
        15.4        15.75        0        0        0          0
       15.75         16.1        0        0        0          0
        16.1        16.45        0        0        0          0
       16.45         16.8        0        0        0          0
        16.8        17.15        0        0        0          0
       17.15         17.5        0        0        0          0
        17.5        17.85        0        0        0          0
       17.85         18.2        0        0        0          0
        18.2        18.55        0        0        0          0
       18.55         18.9        0        0        0          0
        18.9        19.25        0        0        0          0
       19.25         19.6        0        0        0          0
        19.6        19.95        0        0        0          0
       19.95         20.3        0        0        0          0
        20.3        20.65        0        0        0          0
       20.65           21        0        0        0          0
          21        21.35        0        0        0          0
       21.35         21.7        0        0        0          0
        21.7        22.05        0        0        0          0
       22.05         22.4        0        0        0          0
        22.4        22.75        0        0        0          0
       22.75         23.1        0        0        0          0
        23.1        23.45        0        0        0          0
       23.45         23.8        0        0        0          0
        23.8        24.15        0        0        0          0
       24.15         24.5        0        0        0          0
        24.5        24.85        0        0        0          0
       24.85         25.2        0        0        0          0
        25.2        25.55        0        0        0          0
       25.55         25.9        0        0        0          0
        25.9        26.25        0        0        0          0
       26.25         26.6        0        0        0          0
        26.6        26.95        0        0        0          0
       26.95         27.3        0        0        0          0
        27.3        27.65        0        0        0          0
       27.65           28        0        0        0          0
          28        28.35        0        0        0          0
       28.35         28.7        0        0        0          0
        28.7        29.05        0        0        0          0
       29.05         29.4        0        0        0          0
        29.4        29.75        0        0        0          0
       29.75         30.1        0        0        0          0
        30.1        30.45        0        0        0          0
       30.45         30.8        0        0        0          0
        30.8        31.15        0        0        0          0
       31.15         31.5        0        0        0          0
        31.5        31.85        0        0        0          0
       31.85         32.2        0        0        0          0
        32.2        32.55        0        0        0          0
       32.55         32.9        0        0        0          0
        32.9        33.25        0        0        0          0
       33.25         33.6        0        0        0          0
        33.6        33.95        0        0        0          0
       33.95         34.3        0        0        0          0
        34.3        34.65        0        0        0          0
       34.65           35        0        0        0          0
          35        35.35        0        0        0          0
       35.35         35.7        0        0        0          0
        35.7        36.05        0        0        0          0
       36.05         36.4        0        0        0          0
        36.4        36.75        0        0        0          0
       36.75         37.1        0        0        0          0
        37.1        37.45        0        0        0          0
       37.45         37.8        0        0        0          0
        37.8        38.15        0        0        0          0
       38.15         38.5        0        0        0          0
        38.5        38.85        0        0        0          0
       38.85         39.2      135       23       44    30.7333
        39.2        39.55        0        0        0          0
       39.55         39.9        0        0        0          0
        39.9        40.25        0        0        0          0
       40.25         40.6        0        0        0          0
        40.6        40.95        0        0        0          0
       40.95         41.3        0        0        0          0
        41.3        41.65        0        0        0          0
       41.65           42        0        0        0          0
          42        42.35       21       41      307    170.905
       42.35         42.7       26      321      662    491.423
        42.7        43.05       25      676      935     821.44
       43.05         43.4       26      373      893    627.731
        43.4        43.75       26      223      427        354
       43.75         44.1       31       21      210    73.3226
        44.1        44.45      117       23      129    69.6239
       44.45         44.8       79       52      122    91.4937
        44.8        45.15        0        0        0          0
       45.15         45.5        2       23       23         23
        45.5        45.85       14       23       30    25.5714
       45.85         46.2      136       22       46     26.625
        46.2        46.55        0        0        0          0
       46.55         46.9        0        0        0          0
        46.9        47.25        0        0        0          0
       47.25         47.6        0        0        0          0
        47.6        47.95        0        0        0          0
       47.95         48.3        0        0        0          0
        48.3        48.65        0        0        0          0
       48.65           49        0        0        0          0
          49        49.35       87       23      121    79.3678
       49.35         49.7       67       23       84    45.3134
        49.7        50.05        0        0        0          0
       50.05         50.4        0        0        0          0
        50.4        50.75        0        0        0          0
       50.75         51.1        0        0        0          0
        51.1        51.45        0        0        0          0
       51.45         51.8        0        0        0          0
        51.8        52.15        0        0        0          0
       52.15         52.5        0        0        0          0
        52.5        52.85      155       23       44    26.6774
       52.85         53.2        7       23       24    23.4286
        53.2        53.55        0        0        0          0
       53.55         53.9        0        0        0          0
        53.9        54.25        0        0        0          0
       54.25         54.6        0        0        0          0
        54.6        54.95        0        0        0          0
       54.95         55.3        0        0        0          0
        55.3        55.65        0        0        0          0
       55.65           56        7       34      110    72.2857
          56        56.35       24      123      316    246.458
       56.35         56.7       18      141      318      212.5
        56.7        57.05        9       52      200    144.333
       57.05         57.4        0        0        0          0
        57.4        57.75        1       48       48         48
       57.75         58.1       12       53      153    109.667
        58.1        58.45        7       91      204    148.143
       58.45         58.8        7       50      134         70
        58.8        59.15        6       53      111         84
       59.15         59.5       13       83      202    142.308
        59.5        59.85       12       53      113       75.5
       59.85         60.2       17       31       53    39.2941
