    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        1       29       29         29
         2.1         2.45       46       37      138    93.3913
        2.45          2.8       36       26       77    50.0278
         2.8         3.15       38       26       45    35.2368
        3.15          3.5       42       26       88    47.4286
         3.5         3.85       36       25       56    32.0556
        3.85          4.2       40       25       73      34.75
         4.2         4.55       48       25       30    27.9375
        4.55          4.9       54       26       66    30.3519
         4.9         5.25       58       24       30    25.9483
        5.25          5.6       56       24       44    26.3214
         5.6         5.95       56       24       26    24.9821
        5.95          6.3       56       24       54    26.4107
         6.3         6.65       60       24       25       24.5
        6.65            7       32       22       29    24.5625
           7         7.35        0        0        0          0
        7.35          7.7        0        0        0          0
         7.7         8.05        0        0        0          0
        8.05          8.4        0        0        0          0
         8.4         8.75        0        0        0          0
        8.75          9.1        0        0        0          0
         9.1         9.45        0        0        0          0
        9.45          9.8        0        0        0          0
         9.8        10.15        0        0        0          0
       10.15         10.5        0        0        0          0
        10.5        10.85        0        0        0          0
       10.85         11.2        0        0        0          0
        11.2        11.55       37       24       74         41
       11.55         11.9       53       24       91    44.9623
        11.9        12.25       69       24       52    34.1594
       12.25         12.6       59       24       69    37.3559
        12.6        12.95       71       24       36    31.2958
       12.95         13.3       74       24       41    27.4189
        13.3        13.65       78       24       63    31.6282
       13.65           14       75       28       38    31.8933
          14        14.35       72       31       36    33.4861
       14.35         14.7       43       31       36    33.5349
        14.7        15.05        0        0        0          0
       15.05         15.4        0        0        0          0
        15.4        15.75        0        0        0          0
       15.75         16.1        0        0        0          0
        16.1        16.45        0        0        0          0
       16.45         16.8        0        0        0          0
        16.8        17.15        0        0        0          0
       17.15         17.5        0        0        0          0
        17.5        17.85       31       29      121    85.5484
       17.85         18.2       45       26      108    44.3333
        18.2        18.55       34       25       44    30.9706
       18.55         18.9       40       25       40     28.475
        18.9        19.25       46       23       33    25.6957
       19.25         19.6       46       23       25         24
        19.6        19.95       48       23       25         24
       19.95         20.3       21       23      120    62.2381
        20.3        20.65       16       32       80      51.75
       20.65           21       17       59      100    74.9412
          21        21.35       18       29       76    41.7222
       21.35         21.7       23       29       42    32.4348
        21.7        22.05       25       26       47      36.76
       22.05         22.4       32       25       28       26.5
        22.4        22.75       28       25       28       26.5
       22.75         23.1       31       25       39    27.7419
        23.1        23.45       29       28       34    31.1034
       23.45         23.8       28       28       34         31
        23.8        24.15       24       28       54     35.375
       24.15         24.5       22       45       79    51.4091
        24.5        24.85       19       30       79    53.6316
       24.85         25.2       20       30       58       44.7
        25.2        25.55       16       32      101     65.125
       25.55         25.9       17       32       98    68.1176
        25.9        26.25       16       31       54    42.0625
       26.25         26.6       19       45       92    62.0526
        26.6        26.95       17       54       92    69.6471
       26.95         27.3       15       31       78    43.8667
        27.3        27.65       16       45       89     62.875
       27.65           28       13       33       67    42.6923
          28        28.35       23       26       44    30.3478
       28.35         28.7       28       26       31       28.5
        28.7        29.05       24       26       31       28.5
       29.05         29.4       20       44       63      49.95
        29.4        29.75       18       44       54         49
       29.75         30.1       22       25       54    41.1818
        30.1        30.45       28       25       28    26.4643
       30.45         30.8       29       25       35    27.3103
        30.8        31.15       23       25       68    34.4348
       31.15         31.5       12       33       90       69.5
        31.5        31.85       14       33       79    49.2857
       31.85         32.2       15       46       94       64.8
        32.2        32.55       14       33       71         49
       32.55         32.9       14       33       83    49.7857
        32.9        33.25       21       28       71    41.1429
       33.25         33.6       24       28       52      32.75
        33.6        33.95       26       28       34         31
       33.95         34.3       16       28       97    52.6875
        34.3        34.65       15       50       73    60.7333
       34.65           35       15       50       73    62.2667
          35        35.35       26       26       50    29.6923
       35.35         35.7       30       22       45    29.7667
        35.7        36.05       37       26       43    29.3784
       36.05         36.4       22       30       96    58.5909
        36.4        36.75       21       39       88    54.4762
       36.75         37.1       18       44       79    62.6111
        37.1        37.45       17       33       87    51.4706
       37.45         37.8       17       44       87    60.1176
        37.8        38.15       20       23       76      37.05
       38.15         38.5       33       23       25    23.6061
        38.5        38.85       32       23       24       23.5
       38.85         39.2       14       23       24    23.4286
        39.2        39.55        0        0        0          0
       39.55         39.9        0        0        0          0
        39.9        40.25        0        0        0          0
       40.25         40.6        0        0        0          0
        40.6        40.95        0        0        0          0
       40.95         41.3        0        0        0          0
        41.3        41.65        0        0        0          0
       41.65           42        0        0        0          0
          42        42.35        0        0        0          0
       42.35         42.7        0        0        0          0
        42.7        43.05        0        0        0          0
       43.05         43.4        0        0        0          0
        43.4        43.75        0        0        0          0
       43.75         44.1        0        0        0          0
        44.1        44.45        0        0        0          0
       44.45         44.8        0        0        0          0
        44.8        45.15        0        0        0          0
       45.15         45.5        0        0        0          0
        45.5        45.85        0        0        0          0
       45.85         46.2       55       22       33    25.6727
        46.2        46.55      268       22      121    55.3955
       46.55         46.9      167       22       95    31.0958
        46.9        47.25      148       22      109    44.0743
       47.25         47.6        0        0        0          0
        47.6        47.95        0        0        0          0
       47.95         48.3        0        0        0          0
        48.3        48.65        0        0        0          0
       48.65           49        0        0        0          0
          49        49.35        0        0        0          0
       49.35         49.7        0        0        0          0
        49.7        50.05        0        0        0          0
       50.05         50.4       69       23       46    34.0145
        50.4        50.75      185       23       41    29.2811
       50.75         51.1      204       22       25     23.348
        51.1        51.45      206       22       56    25.1408
       51.45         51.8      220       22       26    23.1273
        51.8        52.15        0        0        0          0
       52.15         52.5        0        0        0          0
        52.5        52.85        0        0        0          0
       52.85         53.2        0        0        0          0
        53.2        53.55        0        0        0          0
       53.55         53.9        0        0        0          0
        53.9        54.25        0        0        0          0
       54.25         54.6        0        0        0          0
        54.6        54.95        8       36      151     95.375
       54.95         55.3       22      180      451    327.727
        55.3        55.65       23      156      405    269.609
       55.65           56       16       54      168     89.125
          56        56.35       12       52       67    62.4167
       56.35         56.7       11       52      185    95.7273
        56.7        57.05       17      215      447    325.412
       57.05         57.4       17      103      457    254.882
