     Time_Now  Buffer_Level 
      3.21999             3
      3.21999             0
       5.4192             3
      6.21999             0
      7.16169             3
       8.1261             6
      9.21943             9
      9.21999             6
      11.3004             9
        12.22             6
      13.4937             9
        15.22             6
      15.5899             9
        18.22             6
      20.1449             9
        21.22             6
        24.22             3
        27.22             0
      33.6499             3
      33.6499             0
      35.2294             3
      36.6499             0
      37.0613             3
      38.8266             6
      39.6499             3
      39.9529             6
      41.4372             9
      42.6499             6
      43.8193             9
      45.6499             6
      46.7046             9
      48.6499             6
      48.8438             9
      49.9735            12
      50.6272            15
      51.1949            18
      51.6499            15
      51.8442            18
      52.6111            21
      53.3157            24
      54.6499            21
      57.6499            18
      60.6499            15
      63.6499            12
      66.6499             9
      69.6499             6
      70.7669             9
      72.6499             6
      75.6499             3
      78.6499             0
      79.3631             3
      81.6499             0
      81.9146             3
      84.6499             0
       85.587             3
      87.6499             0
      87.8899             3
      89.7608             6
      90.6499             3
      93.0161             6
      93.6499             3
      96.6499             0
      96.7921             3
      99.3833             6
      99.6499             3
      101.451             6
       102.65             3
      104.883             6
       105.65             3
       108.65             0
      108.946             3
       111.65             0
      112.444             3
       114.65             0
      115.556             3
       117.65             0
      118.086             3
       120.65             0
      120.761             3
      123.013             6
       123.65             3
       126.65             0
      127.922             3
       129.65             0
      131.638             3
       132.65             0
      134.003             3
      135.385             6
       135.65             3
      137.349             6
       138.65             3
      140.237             6
       141.65             3
      143.646             6
       144.65             3
       147.65             0
