    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        2       26       33       29.5
         2.1         2.45       46       41      154    100.826
        2.45          2.8       55       29       85    51.9636
         2.8         3.15       48       26       55    39.8958
        3.15          3.5       36       26       88    45.9444
         3.5         3.85       33       26       38         30
        3.85          4.2       41       25       43     29.122
         4.2         4.55       41       25       33    30.8049
        4.55          4.9       42       25       36    31.6429
         4.9         5.25       42       25       33    28.0952
        5.25          5.6       42       24       46       28.5
         5.6         5.95       44       24       35    26.6591
        5.95          6.3       48       24       29    24.8333
         6.3         6.65       46       24       25       24.5
        6.65            7       54       24       27     24.537
           7         7.35       60       23       36    24.9333
        7.35          7.7       73       23       27    24.3699
         7.7         8.05       95       23       27    24.4211
        8.05          8.4      101       23       41    25.2277
         8.4         8.75      146       23       26     24.226
        8.75          9.1      153       23       72    27.5556
         9.1         9.45       77       24       79    50.8442
        9.45          9.8       88       26       44    36.2614
         9.8        10.15       79       25       33    27.5823
       10.15         10.5       89       25       32    27.1798
        10.5        10.85       96       25       32      27.25
       10.85         11.2      100       24       29      26.18
        11.2        11.55       91       23       56    27.7253
       11.55         11.9      103       24       27    25.5146
        11.9        12.25      103       24       30    26.0485
       12.25         12.6      107       24       27     25.486
        12.6        12.95      106       24       27       25.5
       12.95         13.3      109       24       27    25.1009
        13.3        13.65       80       24       57       35.9
       13.65           14      102       24       52    31.0098
          14        14.35       77       24       54    34.3377
       14.35         14.7       96       24       33    25.8438
        14.7        15.05      108       24       35    26.0463
       15.05         15.4      100       31       39      33.97
        15.4        15.75       76       24       64    31.9605
       15.75         16.1       92       25       32    27.9348
        16.1        16.45       92       28       39     34.087
       16.45         16.8       79       26       39    30.3291
        16.8        17.15       76       26       36    28.3553
       17.15         17.5       82       26       34    29.1098
        17.5        17.85       84       28       33       30.5
       17.85         18.2       87       25       33    28.7356
        18.2        18.55       63       25       74    42.1746
       18.55         18.9       41       25       30    29.2683
        18.9        19.25       44       23       30    25.3636
       19.25         19.6       33       23       25    23.1515
        19.6        19.95       21       23       30         26
       19.95         20.3       45       23      133       59.6
        20.3        20.65       34      143      285    212.206
       20.65           21       33       39      130    88.5152
          21        21.35       28       29       32    29.2143
       21.35         21.7       28       29       29         29
        21.7        22.05       14       29       30    29.0714
       22.05         22.4       37       25       41    28.4595
        22.4        22.75       73       25       31    27.4247
       22.75         23.1       87       25       74    31.7471
        23.1        23.45       58       38       80    55.3793
       23.45         23.8       54       28       56    37.3333
        23.8        24.15       51       28       62    37.7451
       24.15         24.5       30       30       79    48.6667
        24.5        24.85       13       45       62    52.3077
       24.85         25.2       18       37       71    50.6111
        25.2        25.55       22       38       78    50.2727
       25.55         25.9       18       48       78    60.2222
        25.9        26.25       18       54       78    65.4444
       26.25         26.6       23       35       73    49.6087
        26.6        26.95       19       45       73    55.2105
       26.95         27.3       18       39       89    61.2778
        27.3        27.65       15       33       67         46
       27.65           28       16       33       78    48.9375
          28        28.35       30       26       67         32
       28.35         28.7       26       31       35         33
        28.7        29.05       26       31       50    33.9615
       29.05         29.4       25       31       63      40.92
        29.4        29.75       26       31       41         36
       29.75         30.1       28       25       41      33.75
        30.1        30.45       31       25       28    26.5484
       30.45         30.8       32       25       31    26.5938
        30.8        31.15       37       25       60    33.3243
       31.15         31.5       31       46       68    54.5161
        31.5        31.85       30       33       57       42.9
       31.85         32.2       31       34       60    46.7742
        32.2        32.55       30       48       71    57.0667
       32.55         32.9       27       33       60    42.8889
        32.9        33.25       38       28       48    34.6579
       33.25         33.6       47       28       40    31.4468
        33.6        33.95       45       28       71    34.1556
       33.95         34.3       33       28       73    50.7879
        34.3        34.65       27       34       57    40.8148
       34.65           35       30       38       61    51.6667
          35        35.35       40       26       85      36.75
       35.35         35.7       43       30       47    39.5814
        35.7        36.05       41       34       53    39.4634
       36.05         36.4       21       30      104    65.5714
        36.4        36.75       31       30       47    35.7097
       36.75         37.1       35       30       48    36.2286
        37.1        37.45       30       33       98       55.7
       37.45         37.8       32       33       54     39.375
        37.8        38.15       38       23       54    35.3158
       38.15         38.5       60       23       25    23.5333
        38.5        38.85       59       22       24    23.4746
       38.85         39.2       64       22       29    23.2188
        39.2        39.55       63       22       23    22.4921
       39.55         39.9       57       22       23    22.5088
        39.9        40.25       63       22       28    23.5238
       40.25         40.6       64       23       24       23.5
        40.6        40.95       58       23       24       23.5
       40.95         41.3       63       23       25     23.619
        41.3        41.65       71       22       32    24.2817
       41.65           42       92       23       25    23.7283
          42        42.35       48       29       94    56.2083
       42.35         42.7       52       33       54    45.1154
        42.7        43.05       49       29       42    33.1837
       43.05         43.4       52       33       46      38.25
        43.4        43.75       51       40       46    42.9412
       43.75         44.1       41       23      103    46.0244
        44.1        44.45       50       23       27      23.96
       44.45         44.8       63       23       25    23.5238
        44.8        45.15       67       23       26    23.5373
       45.15         45.5       76       23       24       23.5
        45.5        45.85       78       23       24       23.5
       45.85         46.2       76       22       24    22.9211
        46.2        46.55       78       22       23       22.5
       46.55         46.9       77       21       29    22.9221
        46.9        47.25       70       22       32       24.1
       47.25         47.6       80       23       25         24
        47.6        47.95       74       23       27    24.2432
       47.95         48.3       86       23       25    23.6163
        48.3        48.65      102       23       24    23.5098
       48.65           49      112       23       36    24.4018
          49        49.35      124       23       48    27.0161
