     Time_Now  Buffer_Level 
      3.21999             3
      3.21999             0
       5.4192             3
      6.21999             0
      7.16262             3
      8.14312             6
      8.64134             9
      9.02429            12
      9.21999             9
      10.0303            12
      11.0178            15
      11.7163            18
        12.22            15
      12.4112            18
      13.0882            21
      13.7644            24
      14.3954            27
      14.9311            30
        15.22            27
      15.9045            30
      16.7486            33
      17.9781            36
        18.22            33
      18.6817            36
      19.3634            39
      19.9568            42
        21.22            39
        24.22            36
        27.22            33
        30.22            30
        33.22            27
        36.22            24
      38.6609            27
        39.22            24
        42.22            21
      44.0732            24
      44.9848            27
        45.22            24
        48.22            21
      48.6519            24
      49.5511            27
        51.22            24
      53.4833            27
        54.22            24
        57.22            21
        60.22            18
        63.22            15
        66.22            12
      67.9794            15
        69.22            12
        72.22             9
        75.22             6
        78.22             3
      79.5415             6
        81.22             3
        84.22             0
      90.6351             3
      90.6351             0
      100.031             3
      100.031             0
       109.43             3
       109.43             0
      114.434             3
      114.434             0
      117.862             3
      117.862             0
       120.46             3
      120.862             0
      124.363             3
      124.363             0
      130.567             3
      130.567             0
      132.203             3
      133.567             0
      135.232             3
      136.567             0
      138.717             3
      139.567             0
      141.406             3
      142.567             0
      145.889             3
      145.889             0
