    WinStart       WinEnd Samples_Number      Min      Max       Mean
        1.75          2.1        2       26       33       29.5
         2.1         2.45       46       41      154    100.826
        2.45          2.8       55       29       85    51.9636
         2.8         3.15       48       26       55    39.8958
        3.15          3.5       36       26       88    45.9444
         3.5         3.85       33       26       38         30
        3.85          4.2       41       25       43     29.122
         4.2         4.55       41       25       33    30.8049
        4.55          4.9       42       25       36    31.6429
         4.9         5.25       42       25       33    28.0952
        5.25          5.6       42       24       46       28.5
         5.6         5.95       44       24       35    26.6591
        5.95          6.3       46       24       29    25.3043
         6.3         6.65       46       24       29    25.4348
        6.65            7       55       24       28       24.8
           7         7.35       60       23       36    24.9167
        7.35          7.7       74       23       27    24.3514
         7.7         8.05       87       23       34    26.4253
        8.05          8.4      109       23       45    26.1651
         8.4         8.75      116       23       72    29.9828
        8.75          9.1      141       23       53    26.4894
         9.1         9.45       90       26      123    66.1444
        9.45          9.8       63       26       33    27.7143
         9.8        10.15       63       25       56    29.7302
       10.15         10.5       74       25       32    27.1892
        10.5        10.85       76       25       29         27
       10.85         11.2       67       24       49    28.0448
        11.2        11.55       83       24       29    25.6024
       11.55         11.9       75       22       51       27.4
        11.9        12.25       86       24       28    25.6512
       12.25         12.6       79       23       53    27.4937
        12.6        12.95       87       24       27    25.4828
       12.95         13.3       83       24       50     27.012
        13.3        13.65       93       24       29    25.3118
       13.65           14      104       23       60    28.2885
          14        14.35      134       24       29    25.8881
       14.35         14.7      128       23       72    33.0938
        14.7        15.05      116       24       69    34.4224
       15.05         15.4       95       25       46    34.9053
        15.4        15.75       98       25       32    28.5408
       15.75         16.1       86       25       78     36.093
        16.1        16.45       82       26       39    31.0488
       16.45         16.8       79       26       33    28.4557
        16.8        17.15       88       28       75    38.0114
       17.15         17.5       75       26       41    30.7333
        17.5        17.85       77       26       34    28.4935
       17.85         18.2       77       24       69    30.7532
        18.2        18.55       89       25       29    27.0225
       18.55         18.9       80       21       69     30.225
        18.9        19.25       92       23       29     24.913
       19.25         19.6       88       23       43    25.3068
        19.6        19.95       90       23       25         24
       19.95         20.3        6       22       25    23.8333
        20.3        20.65        0        0        0          0
       20.65           21        0        0        0          0
          21        21.35        0        0        0          0
       21.35         21.7        0        0        0          0
        21.7        22.05        0        0        0          0
       22.05         22.4        0        0        0          0
        22.4        22.75        0        0        0          0
       22.75         23.1        0        0        0          0
        23.1        23.45        0        0        0          0
       23.45         23.8        0        0        0          0
        23.8        24.15        0        0        0          0
       24.15         24.5        0        0        0          0
        24.5        24.85        0        0        0          0
       24.85         25.2        0        0        0          0
        25.2        25.55        0        0        0          0
       25.55         25.9        0        0        0          0
        25.9        26.25        0        0        0          0
       26.25         26.6        0        0        0          0
        26.6        26.95        0        0        0          0
       26.95         27.3        0        0        0          0
        27.3        27.65        0        0        0          0
       27.65           28        0        0        0          0
          28        28.35        0        0        0          0
       28.35         28.7        0        0        0          0
        28.7        29.05        0        0        0          0
       29.05         29.4        0        0        0          0
        29.4        29.75        0        0        0          0
       29.75         30.1        0        0        0          0
        30.1        30.45        0        0        0          0
       30.45         30.8        0        0        0          0
        30.8        31.15        0        0        0          0
       31.15         31.5        0        0        0          0
        31.5        31.85        0        0        0          0
       31.85         32.2        0        0        0          0
        32.2        32.55        0        0        0          0
       32.55         32.9        0        0        0          0
        32.9        33.25        0        0        0          0
       33.25         33.6        0        0        0          0
        33.6        33.95        0        0        0          0
       33.95         34.3        0        0        0          0
        34.3        34.65        0        0        0          0
       34.65           35        0        0        0          0
          35        35.35        0        0        0          0
       35.35         35.7        0        0        0          0
        35.7        36.05        0        0        0          0
       36.05         36.4        0        0        0          0
        36.4        36.75        0        0        0          0
       36.75         37.1        0        0        0          0
        37.1        37.45        0        0        0          0
       37.45         37.8        0        0        0          0
        37.8        38.15       64       23       44    28.8906
       38.15         38.5      343       23       96      57.07
        38.5        38.85      151       23       77    54.1921
       38.85         39.2        0        0        0          0
        39.2        39.55        0        0        0          0
       39.55         39.9        0        0        0          0
        39.9        40.25        0        0        0          0
       40.25         40.6        0        0        0          0
        40.6        40.95        0        0        0          0
       40.95         41.3        0        0        0          0
        41.3        41.65        0        0        0          0
       41.65           42      276       23       50     29.913
          42        42.35       37       28      338    138.784
       42.35         42.7       25      349      525      465.2
        42.7        43.05       26      183      443      284.5
       43.05         43.4       26       46      183         75
        43.4        43.75       25       46       46         46
       43.75         44.1       49       23      178     89.449
        44.1        44.45      149       23       43    26.5101
       44.45         44.8      179       23       27     24.067
        44.8        45.15      102       22       25    23.5196
       45.15         45.5        0        0        0          0
        45.5        45.85        0        0        0          0
       45.85         46.2        0        0        0          0
        46.2        46.55        0        0        0          0
       46.55         46.9        0        0        0          0
        46.9        47.25        0        0        0          0
       47.25         47.6        0        0        0          0
        47.6        47.95        0        0        0          0
       47.95         48.3      173       23       46     25.341
        48.3        48.65      227       23       24    23.5066
       48.65           49      213       23       49    25.2488
          49        49.35      165       23       63    40.2242
       49.35         49.7       68       22       39    26.3088
        49.7        50.05        0        0        0          0
       50.05         50.4        0        0        0          0
        50.4        50.75        0        0        0          0
       50.75         51.1        0        0        0          0
        51.1        51.45        0        0        0          0
       51.45         51.8        0        0        0          0
        51.8        52.15        0        0        0          0
       52.15         52.5        0        0        0          0
        52.5        52.85      100       23       55      26.88
